escenario,ZONA,viaje_n_en_zona,cupos_camion_capacidad,cupos_cargados,n_paradas,min_conduccion_OSRM,horas_conduccion_viaje,min_ventanas_10min_entre_paradas,min_total_viaje,horas_total_viaje_con_ventanas,km_ruta_OSRM,ids_filas_paradas,paradas_orden_visita
Comedor,1,1,5000,3435,12,87.06,1.451,110,197.06,3.284,57.687,"12,21,13,9,7,17,5,2,18,19,1,23",[12] 3:Monroe 355 Temperley(55) | [21] 37:Meeks 778(486) | [13] 9:Hipólito Yrigoyen 9243(242) | [9] 503:Alvear 563(60) | [7] 21:Manuel Castro 990(1275) | [17] 89:Larroque 2200(45) | [5] 63:Viamonte 436(126) | [2] 2:Anchoris 4566 Temperley Este(100) | [18] 70:Gabriel Miró 944(400) | [19] 87:Ostende 1260(200) | [1] 56:Ayolas 1135(300) | [23] 953:Calle 109 Nº 1340(146)
Comedor,2,1,5000,1541,6,41.21,0.687,50,91.21,1.52,27.369,"38,41,43,34,37,39",[38] 40:Perito Moreno 260(270) | [41] 32:Indalecio Gomez 502(230) | [43] 47:El Zorzal 2093(309) | [34] 86:Allemandri 1501(150) | [37] 68:Alte Brown 2153(309) | [39] 13:Avenida Alte Brown 2153(273)
Comedor,3,1,5000,4868,14,60.22,1.004,130,190.22,3.17,41.123,"52,56,57,65,58,68,55,62,61,53,69,66,48,70",[52] 25:Presidente Perón 4002(315) | [56] 37:Mascagni 347(350) | [57] 40 SEDE:Luis Siciliano 1551(275) | [65] 76:Luis Siciliano 1551(300) | [58] 40 EXT:Celina de Minetto 1455(275) | [68] 81:Celina de Minetto 1455(317) | [55] 36:Caraza 1760(230) | [62] 19:Gabriela Mistral 312(279) | [61] 2645:Ostende y Labarden S/Nro(250) | [53] 30:Bucarest 1722(520) | [69] 88:Bucarest 1722(410) | [66] 77:Bucarest 1780(400) | [48] 508:Espronceda 150(147) | [70] 92:Soldado Britos 1451 Santa Cata(800)
Comedor,3,2,5000,4301,9,71.8,1.197,80,151.8,2.53,52.273,"51,54,50,71,60,67,59,73,72",[51] 11:Campana 524/534(491) | [54] 32:Manuela Pedraza 3280(475) | [50] 71:Facundo Quiroga 1370(470) | [71] 94:Facundo Quiroga 1370 Santa Cat(758) | [60] 9:Soldado Rodriguez 1299(658) | [67] 79:Azamor 297(300) | [59] 67:Campana 360 Fiorito(299) | [73] 63:Campana 360 Fiorito(500) | [72] 98:Larrazabal 2879 Fiorito(350)
Comedor,4,1,5000,4876,9,70.24,1.171,80,150.24,2.504,49.612,"88,81,83,76,78,85,93,86,74",[88] 26:Los Robles 108(460) | [81] 13:Hipolito Yrigoyen 9428(550) | [83] 1:Manuel Castro 161(700) | [76] 7:Saenz 450(370) | [78] 15:Dr Carlos Piocollivadino 267(490) | [85] 6:Gascon 150(1196) | [93] 97:Vernet 281(270) | [86] 8:Pio Baroja 1802(500) | [74] 926:Pio Baroja 2054(340)
Comedor,4,2,5000,4420,8,72.79,1.213,70,142.79,2.38,54.532,"84,75,82,79,92,90,89,91",[84] 3:El Tordo 459(800) | [75] 4:Larroque 2175(540) | [82] 83:Quesada 2610(490) | [79] 22:Gabriel Miro 2480(630) | [92] 90:Gabriel Miro 2450(300) | [90] 85:B.P. GaldosS 1998(550) | [89] 67:Pio Baroja2098(650) | [91] 86:Pilar 120(460)
Comedor,5,1,5000,2074,8,45.48,0.758,70,115.48,1.925,34.193,"99,110,102,95,100,94,104,98",[99] 84:Dr. Melber 2070(176) | [110] 34:Dr. Melber 2050(350) | [102] 51:Mercedes 450(277) | [95] 915:Santos Vega y Pareta(100) | [100] 3:San Blas 309(555) | [94] 80:Piaggio 402(219) | [104] 80:Piaggio 402(255) | [98] 4:Martin Rodriguez 2244(142)
Comedor,6,1,5000,2987,12,88.06,1.468,110,198.06,3.301,60.623,"114,115,113,129,124,127,121,118,120,112,125,128",[114] 920:Araguaya 957(57) | [115] 921:Juan Zamora y Gabriela Mistral(139) | [113] 501:Laprida 1573(150) | [129] 84:Núñez de Arce 1296(446) | [124] 74:Ejercto de los Andes 1318(300) | [127] 44:Islandia 650(350) | [121] 43:Morazan s/n entre Islandia y A(300) | [118] 934:Campana 1216(197) | [120] 6:Mario Bravo 2133(55) | [112] 805:Azamor 232(219) | [125] 27:Laprida 1650(326) | [128] 56:El Tordo 233(448)
Comedor,7,1,5000,4976,14,62.47,1.041,130,192.47,3.208,38.752,"158,145,146,132,133,142,143,149,155,131,141,157,138,156",[158] 75:F.Sanchéz 1311(290) | [145] 2:Lavalle 801(350) | [146] 5:Pringles 27(1392) | [132] 506:Ramon Falcon 780(70) | [133] 507:Pasaje González 40(66) | [142] 59:Castelli 816(250) | [143] 64:Santa Fe 550(180) | [149] 5:Juan José Castelli 1710(310) | [155] 53:Las Tropas y Vernet 1700(500) | [131] 801:Las Heras 2203(180) | [141] 46:las tropas y vernet S/N(450) | [157] 60:Cid guido de franc 2520(441) | [138] 951:Florencio Sanchez 1270(97) | [156] 59:Champalanne 2608(400)
Comedor,7,2,5000,1368,4,50.89,0.848,30,80.89,1.348,36.843,"135,139,136,147",[135] 937:Bustos 890(170) | [139] 23:Florencio Sanchez 1270(598) | [136] 939:La Haya 2155(160) | [147] 7:Acevedo 1864(440)
Comedor,8,1,5000,1844,8,46.43,0.774,70,116.43,1.94,30.764,"176,168,171,162,167,174,169,178",[176] 22:Santa Teresa 90(128) | [168] 41:Hiólito Yrigoyen 11518(280) | [171] 65:Huergo 40(315) | [162] 802:Av José Garibaldi 1256(283) | [167] 5:Av. Eva Perón y Albarracín(200) | [174] 2:Albarracín 911(311) | [169] 44:Perito Moreno 260(185) | [178] 55:Nestor De La Peña 654(142)
Comedor,9,1,5000,4964,24,101.27,1.688,230,331.27,5.521,62.17,"211,210,198,196,205,194,182,200,202,183,204,197,208,193,206,209,181,184,207,195,192,191,185,203",[211] 74:Santos Vega y Pareta sin númer(134) | [210] 71:9 de Febrero 390(200) | [198] 58:Olleros 1004(274) | [196] 52:Araguaya 957(70) | [205] 42:Aragón 950(150) | [194] 45:Av Antártida Argentina 2251(107) | [182] 1:Lavalle 851(247) | [200] 77:De Heredia y Juramento 250(277) | [202] 42:Angel Gallardo 170(100) | [183] 502:Garibaldi 253(73) | [204] 17:Olivan 107(230) | [197] 54:La Madreselva 2550(210) | [208] 54:La madreselva 2550(200) | [193] 28:El Trébol 3785(243) | [206] 50:El Trébol 3785(236) | [209] 61:Avenida Pasco 4687(620) | [181] 803:Jesús R. Olivan (ex México) 16(205) | [184] 505:Quilmes 2305(90) | [207] 52:De Heredia 250(280) | [195] 47:El hornero 4960(210) | [192] 8:Yatay 500(315) | [191] 82:Barilari 3592(223) | [185] 935:Lavarden 195(75) | [203] 4:Av. Antártida Argentina y Sant(195)
Comedor,9,2,5000,570,1,39.81,0.663,0,39.81,0.663,30.059,212,[212] 78:Moctezuma 400(570)
Comedor,10,1,5000,4979,12,62.12,1.035,110,172.12,2.869,43.029,"234,227,229,226,224,230,235,217,219,232,216,218",[234] 66:Mercedes 1100(405) | [227] 4:Av Antartida Argentina 2750(957) | [229] 18:Rawson Y Espronceneda S/N(560) | [226] 62:Muzzili 163(230) | [224] 55:Barbieri 1605(332) | [230] 41:Vicente Barbieri 1605(355) | [235] 96 A:José de Espronceda 150(275) | [217] 925:Rawson 2120(334) | [219] 26:Ricardo Palma 195(801) | [232] 57:Espronceneda 297(460) | [216] 905:Belén 1490(190) | [218] 5:Einstein 4247 Lamadrid(80)
Comedor,10,2,5000,3085,7,131.8,2.197,60,191.8,3.197,127.072,"222,228,223,233,231,225,220",[222] 31:Bustos 860(465) | [228] 11:Olmos 530(668) | [223] 39:Voltaire 1650(320) | [233] 65:Voltaire 1650(618) | [231] 48:Lisandro de la Torre 2264(314) | [225] 85:El Zorzal 2779(250) | [220] 2:Alazan E/ Santos Vega S/N(450)
Comedor,11,1,5000,4993,10,58.8,0.98,90,148.8,2.48,42.889,"236,239,244,237,247,253,238,246,245,241",[236] 952:Gral Elizalde s/n y Calle 7(152) | [239] 24:Cipolletti e/ R. Palma y(1000) | [244] 76:Rivera Sur 1750(300) | [237] 1:Euskadi 2949(100) | [247] 46:Homero 3780(600) | [253] 95:Homero 3870(600) | [238] 9:Quesada 2690(850) | [246] 43:Quesada 2672(674) | [245] 12:Quesada 2610(467) | [241] 48:Andres Bello 2763(250)
Comedor,11,2,5000,3189,7,50.23,0.837,60,110.23,1.837,39.55,"249,250,248,242,251,243,252",[249] 62:Andres Bello 2763(350) | [250] 82:Ricardo Palma 2351(650) | [248] 58:Campoamor 2789(500) | [242] 49:Oran 599(354) | [251] 83:Oran 599(400) | [243] 72:Juan Bucetich E/ Pergamino 483(350) | [252] 87:Juan Vucetich 4834(585)
Comedor,12,1,5000,4875,14,76.31,1.272,130,206.31,3.439,51.83,"265,259,262,275,270,264,256,266,273,255,268,261,257,271",[265] 908:Piedrabuena 209(150) | [259] 942:Hipolito Yrigoyen 9428(260) | [262] 946:Cipolleti y Machado(280) | [275] 93:Cipolletti 2202(508) | [270] 50:Vernet 281(300) | [264] 2645:Ostende y Labarden S/Nro(40) | [256] 922:Bucarest 1723(242) | [266] 29:La Haya 2195(330) | [273] 68:La Haya 2195(299) | [255] 504:Bruno Tavano 3870(262) | [268] 70:Homero Manzi 3954(690) | [261] 945:soldado victor rodriguez 1569(210) | [257] 938:Gilberto Elizalde 3971(200) | [271] 16:Avenida Elizalde 3971(1104)
Comedor,12,2,5000,1277,6,50.22,0.837,50,100.22,1.67,41.188,"260,263,254,258,269,272",[260] 943:Las Tropas 1711(150) | [263] 947:Homero 2185(176) | [254] 804:Antonio Machado 2546(252) | [258] 940:Campoamor 2637(131) | [269] 78:Figueredo 1525(248) | [272] 64:Figueredo 1525(320)
Desayuno_merienda,1,1,5000,4979,16,62.41,1.04,150,212.41,3.54,40.37,"12,11,21,20,13,14,15,16,9,10,7,8,4,22,17,3",[12] 3:Monroe 355 Temperley(55) | [11] 919:Juncal 240(110) | [21] 37:Meeks 778(486) | [20] 906:Av. Meeks 778(111) | [13] 9:Hipólito Yrigoyen 9243(242) | [14] 34:Jose Maria Penna 99(650) | [15] 930:Jose Maria Penna 93(120) | [16] 901:Jose Maria Penna 93(160) | [9] 503:Alvear 563(111) | [10] 902:Castelli 840(135) | [7] 21:Manuel Castro 990(1100) | [8] 933:Manuel Castro 990(218) | [4] 1:Hipólito Yrigoyen 7731(500) | [22] 15:Alvear 1715(336) | [17] 89:Larroque 2200(45) | [3] 6:Viamonte 1567(600)
Desayuno_merienda,1,2,5000,1755,7,71.27,1.188,60,131.27,2.188,47.807,"2,5,0,18,19,1,23",[2] 2:Anchoris 4566 Temperley Este(100) | [5] 63:Viamonte 436(95) | [0] 49:Llaroque 1231(247) | [18] 70:Gabriel Miró 944(400) | [19] 87:Ostende 1260(296) | [1] 56:Ayolas 1135(400) | [23] 953:Calle 109 Nº 1340(217)
Desayuno_merienda,2,1,5000,4988,22,90.53,1.509,210,300.52,5.009,59.619,"26,38,35,41,36,43,30,34,42,27,33,44,40,28,24,25,29,37,39,32,31,46",[26] 909:Suipacha 362(70) | [38] 40:Perito Moreno 260(400) | [35] 81:Indalecio Gomez 502(90) | [41] 32:Indalecio Gomez 502(230) | [36] 66:El Zorzal 2093(240) | [43] 47:El Zorzal 2093(309) | [30] 924:Senillosa 310(130) | [34] 86:Allemandri 1501(205) | [42] 45:Allemandri 1501(224) | [27] 913:Campos 122(233) | [33] 88:Campos 145 - 1ºpiso(400) | [44] 73:Gral Campos 145(670) | [40] 28:Boulogne Sur Mer 240(190) | [28] 914:Pintos 1695(125) | [24] 903:Belgrano 1645(150) | [25] 904:Medrano 175(175) | [29] 916:Av. Alte Brown 2129(80) | [37] 68:Alte Brown 2153(309) | [39] 13:Avenida Alte Brown 2153(273) | [32] 941:Golondrina 3607(190) | [31] 927:Villa Barcelo 480 Banfield Est(145) | [46] 2437:Barcelona 1957(150)
Desayuno_merienda,2,2,5000,200,1,40.06,0.668,0,40.06,0.668,34.984,45,[45] 1134:Bolonia 655(200)
Desayuno_merienda,3,1,5000,4897,15,53.98,0.9,140,193.98,3.233,39.493,"52,63,56,57,65,58,68,55,64,62,49,61,53,69,66",[52] 25:Presidente Perón 4002(315) | [63] 38:Chopin 350(350) | [56] 37:Mascagni 347(350) | [57] 40 SEDE:Luis Siciliano 1551(275) | [65] 76:Luis Siciliano 1551(300) | [58] 40 EXT:Celina de Minetto 1455(275) | [68] 81:Celina de Minetto 1455(349) | [55] 36:Caraza 1760(230) | [64] 39:Caraza 1760(250) | [62] 19:Gabriela Mistral 312(279) | [49] 2097:El Plumerillo 769(165) | [61] 2645:Ostende y Labarden S/Nro(250) | [53] 30:Bucarest 1722(600) | [69] 88:Bucarest 1722(509) | [66] 77:Bucarest 1780(400)
Desayuno_merienda,3,2,5000,4580,8,64.92,1.082,70,134.92,2.249,48.756,"51,48,70,60,54,50,71,67",[51] 11:Campana 524/534(611) | [48] 508:Espronceda 150(258) | [70] 92:Soldado Britos 1451 Santa Cata(924) | [60] 9:Soldado Rodriguez 1299(658) | [54] 32:Manuela Pedraza 3280(475) | [50] 71:Facundo Quiroga 1370(470) | [71] 94:Facundo Quiroga 1370 Santa Cat(819) | [67] 79:Azamor 297(365)
Desayuno_merienda,3,3,5000,1502,3,48.88,0.815,20,68.88,1.148,42.68,"59,73,72",[59] 67:Campana 360 Fiorito(452) | [73] 63:Campana 360 Fiorito(590) | [72] 98:Larrazabal 2879 Fiorito(460)
Desayuno_merienda,4,1,5000,4905,8,55.06,0.918,70,125.06,2.084,36.564,"88,81,83,76,87,78,85,77",[88] 26:Los Robles 108(460) | [81] 13:Hipolito Yrigoyen 9428(550) | [83] 1:Manuel Castro 161(700) | [76] 7:Saenz 450(479) | [87] 1:Sáenz 450(350) | [78] 15:Dr Carlos Piocollivadino 267(490) | [85] 6:Gascon 150(1196) | [77] 12:Alberto Larroque 150(680)
Desayuno_merienda,4,2,5000,4840,10,79.74,1.329,90,169.74,2.829,58.446,"84,93,86,75,82,79,92,90,74,80",[84] 3:El Tordo 459(700) | [93] 97:Vernet 281(270) | [86] 8:Pio Baroja 1802(500) | [75] 4:Larroque 2175(560) | [82] 83:Quesada 2610(490) | [79] 22:Gabriel Miro 2480(630) | [92] 90:Gabriel Miro 2450(450) | [90] 85:B.P. GaldosS 1998(650) | [74] 926:Pio Baroja 2054(340) | [80] 73:Pilar 120(250)
Desayuno_merienda,4,3,5000,1110,2,46.61,0.777,10,56.61,0.943,40.179,"89,91",[89] 67:Pio Baroja2098(650) | [91] 86:Pilar 120(460)
Desayuno_merienda,5,1,5000,4907,14,60.45,1.007,130,190.45,3.174,38.992,"99,107,110,102,95,100,111,108,94,104,105,97,103,96",[99] 84:Dr. Melber 2070(296) | [107] 23:Dr. Melber 2070(688) | [110] 34:Dr. Melber 2050(350) | [102] 51:Mercedes 450(497) | [95] 915:Santos Vega y Pareta(100) | [100] 3:San Blas 309(555) | [111] 35:San Blas 351(241) | [108] 29:Molina Arrotea 1505(432) | [94] 80:Piaggio 402(349) | [104] 80:Piaggio 402(340) | [105] 8:Piaggio 402(391) | [97] 1380:Anchorena 1460(120) | [103] 61:MIguel Cané 1264(350) | [96] 923:Moctezuma 498 San Jose Este(198)
Desayuno_merienda,5,2,5000,1703,4,55.27,0.921,30,85.28,1.421,42.827,"101,106,98,109",[101] 14:Sta Maria de Oro 44(863) | [106] 10:Pueyrredón 1840(400) | [98] 4:Martin Rodriguez 2244(142) | [109] 30:Bucarest 1722(298)
Desayuno_merienda,6,1,5000,4535,19,106.62,1.777,180,286.62,4.777,66.262,"114,116,113,117,122,115,128,126,119,130,121,127,124,129,118,120,112,123,125",[114] 920:Araguaya 957(57) | [116] 928:24 de Mayo 649(139) | [113] 501:Laprida 1573(220) | [117] 931:Jacinto Benavente 498(98) | [122] 53:Mentruyt 1825(215) | [115] 921:Juan Zamora y Gabriela Mistral(139) | [128] 56:El Tordo 233(448) | [126] 33:Supe 1824(376) | [119] 907:Araoz 1450(134) | [130] 1009:El Plumerillo 769(250) | [121] 43:Morazan s/n entre Islandia y A(300) | [127] 44:Islandia 650(350) | [124] 74:Ejercto de los Andes 1318(300) | [129] 84:Núñez de Arce 1296(415) | [118] 934:Campana 1216(220) | [120] 6:Mario Bravo 2133(55) | [112] 805:Azamor 232(340) | [123] 60:Laprida 1650(153) | [125] 27:Laprida 1650(326)
Desayuno_merienda,7,1,5000,4990,17,62.89,1.048,160,222.89,3.715,38.063,"158,148,145,146,132,133,142,151,143,149,155,134,156,157,138,139,135",[158] 75:F.Sanchéz 1311(290) | [148] 3:Av. Hipólito Yrigoyen 10361(194) | [145] 2:Lavalle 801(350) | [146] 5:Pringles 27(435) | [132] 506:Ramon Falcon 780(70) | [133] 507:Pasaje González 40(80) | [142] 59:Castelli 816(250) | [151] 14:Castelli 816(449) | [143] 64:Santa Fe 550(180) | [149] 5:Juan José Castelli 1710(350) | [155] 53:Las Tropas y Vernet 1700(500) | [134] 917:Mascagni 395(147) | [156] 59:Champalanne 2608(400) | [157] 60:Cid guido de franc 2520(430) | [138] 951:Florencio Sanchez 1270(97) | [139] 23:Florencio Sanchez 1270(598) | [135] 937:Bustos 890(170)
Desayuno_merienda,7,2,5000,3841,12,71.89,1.198,110,181.88,3.031,51.253,"137,140,141,131,153,154,144,150,152,147,136,160",[137] 949:Año del Libertador 206(91) | [140] 38:Lope de Vega 1070(380) | [141] 46:las tropas y vernet S/N(500) | [131] 801:Las Heras 2203(180) | [153] 31:Av. Hipólito Yrigoyen 7672(280) | [154] 51:Muzzili 163(384) | [144] 69:Alsina 1052(100) | [150] 7:Av. Alsina 1052(326) | [152] 21:J.M. Pena 99(650) | [147] 7:Acevedo 1864(440) | [136] 939:La Haya 2155(160) | [160] 1182:Juan M. de Lavardén 2472(350)
Desayuno_merienda,8,1,5000,4348,19,154.42,2.574,180,334.42,5.574,109.464,"176,168,180,171,164,175,162,167,174,169,170,179,166,173,163,178,165,161,172",[176] 22:Santa Teresa 90(240) | [168] 41:Hiólito Yrigoyen 11518(313) | [180] 72:Hiólito Yrigoyen 11518(289) | [171] 65:Huergo 40(315) | [164] 911:Lavalle 879(159) | [175] 6:Garibaldi 1298(241) | [162] 802:Av José Garibaldi 1256(329) | [167] 5:Av. Eva Perón y Albarracín(294) | [174] 2:Albarracín 911(367) | [169] 44:Perito Moreno 260(212) | [170] 57:Bernardo de Irigoyen 750(534) | [179] 69:Bernardo de Irigoyen 750(565) | [166] 918:Vieytes 651(123) | [173] 1662:Pto Argentino 1040(40) | [163] 8301:A. Cap. Giaccino 3000(30) | [178] 55:Nestor De La Peña 654(145) | [165] 912:San Benito esq. 9 de Julio(107) | [161] 5729:Armesti 3345(30) | [172] 3662:S. de Bustamante 1530(15)
Desayuno_merienda,9,1,5000,4922,23,103.98,1.733,220,323.98,5.4,66.791,"187,211,210,198,196,205,194,182,200,202,215,183,204,190,185,203,186,184,207,181,209,193,197",[187] 932:Antartida Argentina y Santa Ca(40) | [211] 74:Santos Vega y Pareta sin númer(134) | [210] 71:9 de Febrero 390(200) | [198] 58:Olleros 1004(274) | [196] 52:Araguaya 957(80) | [205] 42:Aragón 950(142) | [194] 45:Av Antártida Argentina 2251(140) | [182] 1:Lavalle 851(247) | [200] 77:De Heredia y Juramento 250(277) | [202] 42:Angel Gallardo 170(320) | [215] 36:Angel Gallardo 170(262) | [183] 502:Garibaldi 253(150) | [204] 17:Olivan 107(250) | [190] 929:C.C.Vigil 1059(143) | [185] 935:Lavarden 195(75) | [203] 4:Av. Antártida Argentina y Sant(255) | [186] 910:Cuyo 1111(165) | [184] 505:Quilmes 2305(200) | [207] 52:De Heredia 250(280) | [181] 803:Jesús R. Olivan (ex México) 16(270) | [209] 61:Avenida Pasco 4687(620) | [193] 28:El Trébol 3785(243) | [197] 54:La Madreselva 2550(155)
Desayuno_merienda,9,2,5000,3538,11,55.96,0.933,100,155.96,2.599,38.196,"206,208,191,188,192,212,189,195,213,201,214",[206] 50:El Trébol 3785(236) | [208] 54:La madreselva 2550(239) | [191] 82:Barilari 3592(223) | [188] 936:Monroe 185(197) | [192] 8:Yatay 500(500) | [212] 78:Moctezuma 400(570) | [189] 950:Santa Cruz y Hornero 290(157) | [195] 47:El hornero 4960(331) | [213] 80:El hornero 4975(441) | [201] 79:Presidente Quintana 266(315) | [214] 24:Quintana 266(329)
Desayuno_merienda,10,1,5000,4966,9,43.74,0.729,80,123.74,2.062,31.547,"234,227,221,222,228,223,233,216,231",[234] 66:Mercedes 1100(405) | [227] 4:Av Antartida Argentina 2750(957) | [221] 10:Los Palos Borrachos 185(737) | [222] 31:Bustos 860(465) | [228] 11:Olmos 530(660) | [223] 39:Voltaire 1650(320) | [233] 65:Voltaire 1650(618) | [216] 905:Belén 1490(190) | [231] 48:Lisandro de la Torre 2264(614)
Desayuno_merienda,10,2,5000,4149,11,155.46,2.591,100,255.46,4.258,141.232,"229,226,224,230,235,217,219,232,218,225,220",[229] 18:Rawson Y Espronceneda S/N(560) | [226] 62:Muzzili 163(230) | [224] 55:Barbieri 1605(330) | [230] 41:Vicente Barbieri 1605(355) | [235] 96 A:José de Espronceda 150(260) | [217] 925:Rawson 2120(334) | [219] 26:Ricardo Palma 195(810) | [232] 57:Espronceneda 297(460) | [218] 5:Einstein 4247 Lamadrid(80) | [225] 85:El Zorzal 2779(280) | [220] 2:Alazan E/ Santos Vega S/N(450)
Desayuno_merienda,11,1,5000,4993,10,58.8,0.98,90,148.8,2.48,42.889,"236,239,244,237,247,253,238,246,245,241",[236] 952:Gral Elizalde s/n y Calle 7(152) | [239] 24:Cipolletti e/ R. Palma y(1000) | [244] 76:Rivera Sur 1750(300) | [237] 1:Euskadi 2949(100) | [247] 46:Homero 3780(600) | [253] 95:Homero 3870(600) | [238] 9:Quesada 2690(850) | [246] 43:Quesada 2672(674) | [245] 12:Quesada 2610(467) | [241] 48:Andres Bello 2763(250)
Desayuno_merienda,11,2,5000,4022,8,50.23,0.837,70,120.23,2.004,39.55,"249,240,250,248,242,251,243,252",[249] 62:Andres Bello 2763(350) | [240] 33:Homero y Cafayate(833) | [250] 82:Ricardo Palma 2351(650) | [248] 58:Campoamor 2789(500) | [242] 49:Oran 599(354) | [251] 83:Oran 599(400) | [243] 72:Juan Bucetich E/ Pergamino 483(350) | [252] 87:Juan Vucetich 4834(585)
Desayuno_merienda,12,1,5000,4881,14,76.31,1.272,130,206.31,3.439,51.83,"265,259,262,275,270,264,256,266,273,255,268,261,257,271",[265] 908:Piedrabuena 209(150) | [259] 942:Hipolito Yrigoyen 9428(260) | [262] 946:Cipolleti y Machado(280) | [275] 93:Cipolletti 2202(508) | [270] 50:Vernet 281(300) | [264] 2645:Ostende y Labarden S/Nro(40) | [256] 922:Bucarest 1723(242) | [266] 29:La Haya 2195(330) | [273] 68:La Haya 2195(299) | [255] 504:Bruno Tavano 3870(268) | [268] 70:Homero Manzi 3954(690) | [261] 945:soldado victor rodriguez 1569(210) | [257] 938:Gilberto Elizalde 3971(200) | [271] 16:Avenida Elizalde 3971(1104)
Desayuno_merienda,12,2,5000,1374,6,50.22,0.837,50,100.22,1.67,41.188,"260,263,254,258,269,272",[260] 943:Las Tropas 1711(150) | [263] 947:Homero 2185(176) | [254] 804:Antonio Machado 2546(252) | [258] 940:Campoamor 2637(131) | [269] 78:Figueredo 1525(345) | [272] 64:Figueredo 1525(320)
Patios_coros_sabado,1,1,5000,35,1,37.75,0.629,0,37.75,0.629,33.472,18,[18] 70:Gabriel Miró 944(35)
Patios_coros_sabado,2,1,5000,205,1,37.52,0.625,0,37.52,0.625,30.921,47,[47] 18A:Espronceda 199(205)
Patios_coros_sabado,3,1,5000,182,4,55.4,0.923,30,85.4,1.423,43.057,"56,68,73,71",[56] 37:Mascagni 347(85) | [68] 81:Celina de Minetto 1455(25) | [73] 63:Campana 360 Fiorito(30) | [71] 94:Facundo Quiroga 1370 Santa Cat(42)
Patios_coros_sabado,4,1,5000,36,1,36.09,0.602,0,36.09,0.602,27.177,84,[84] 3:El Tordo 459(36)
Patios_coros_sabado,7,1,5000,100,2,41.68,0.695,10,51.68,0.861,31.7,"139,154",[139] 23:Florencio Sanchez 1270(55) | [154] 51:Muzzili 163(45)
Patios_coros_sabado,9,1,5000,49,2,23.19,0.387,10,33.19,0.553,16.661,"198,196",[198] 58:Olleros 1004(24) | [196] 52:Araguaya 957(25)
Patios_coros_sabado,10,1,5000,150,3,40.75,0.679,20,60.75,1.013,33.899,"227,221,235",[227] 4:Av Antartida Argentina 2750(30) | [221] 10:Los Palos Borrachos 185(60) | [235] 96 A:José de Espronceda 150(60)
Patios_coros_sabado,11,1,5000,135,3,44.54,0.742,20,64.54,1.076,35.921,"247,241,251",[247] 46:Homero 3780(35) | [241] 48:Andres Bello 2763(60) | [251] 83:Oran 599(40)
