cod_a,cod_b,Direccion,Nivel,Escuela,Cupos Mensuales modulos alimentarios,Cupos por día Comedor,Cupos por día Desayuno/Merienda,Cupos Patios Abiertos/Coros y Orquestas Sábado,DMC+COMEDOR,ZONA,lat,lon,geocode_display,Calle,Altura,Localidad,Provincia,Direccion_formateada
,,El Trébol 3785,PP,50,236,236,236,0,472,9,-34.761152,-58.3671271,"El Trébol, San José, Partido de Lomas de Zamora, Buenos Aires, 1835, Argentina",El Trébol,3785,Lomas de Zamora (referencia),Buenos Aires,"El Trébol, 3785, Lomas de Zamora (referencia), Buenos Aires"
,,De Heredia 250,PP,52,300,280,280,0,560,9,-34.7711501,-58.3607551,"José María de Heredia, San José, Partido de Lomas de Zamora, Buenos Aires, 1844, Argentina",De Heredia,250,Lomas de Zamora (referencia),Buenos Aires,"De Heredia, 250, Lomas de Zamora (referencia), Buenos Aires"
,,La madreselva 2550,PP,54,205,200,239,0,439,9,-34.7583434,-58.3669697,"La Madreselva, San José, Partido de Lomas de Zamora, Buenos Aires, 1835, Argentina",La madreselva,2550,Lomas de Zamora (referencia),Buenos Aires,"La madreselva, 2550, Lomas de Zamora (referencia), Buenos Aires"
,,Avenida Pasco 4687,PP,61,600,620,620,0,1240,9,-34.7627085,-58.3641252,"Avenida Eva Perón, San José, Partido de Lomas de Zamora, Buenos Aires, 1844, Argentina",Avenida Pasco,4687,Lomas de Zamora (referencia),Buenos Aires,"Avenida Pasco, 4687, Lomas de Zamora (referencia), Buenos Aires"
,,9 de Febrero 390,PP,71,176,200,200,0,400,9,-34.7939752,-58.4348671,"Escuela de Educación Primaria 71, 390, 9 de Febrero, Llavallol, Partido de Lomas de Zamora, Buenos Aires, B1836CXJ, Argentina",9 de Febrero,390,Lomas de Zamora (referencia),Buenos Aires,"9 de Febrero, 390, Lomas de Zamora (referencia), Buenos Aires"
,,Santos Vega y Pareta sin número Llavallol,PP,74,98,134,134,0,268,9,-34.8066373,-58.4286211,"Santos Vega, 1851, Llavallol, Buenos Aires, Argentina",Santos Vega y Pareta sin número Llavallol,,Lomas de Zamora (referencia),Buenos Aires,"Santos Vega y Pareta sin número Llavallol, , Lomas de Zamora (referencia), Buenos Aires"
,,Moctezuma 400,PP,78,500,570,570,0,1140,9,-34.7501332,-58.3485061,"Moctezuma, San José, Partido de Lomas de Zamora, Buenos Aires, B1844, Argentina",Moctezuma,400,Lomas de Zamora (referencia),Buenos Aires,"Moctezuma, 400, Lomas de Zamora (referencia), Buenos Aires"
,,El hornero 4975,PP,80,400,0,441,0,441,9,-34.7587586,-58.3515942,"El Hornero, San José, Partido de Lomas de Zamora, Buenos Aires, B1844, Argentina",El hornero,4975,Lomas de Zamora (referencia),Buenos Aires,"El hornero, 4975, Lomas de Zamora (referencia), Buenos Aires"
,,Quintana 266,PP,24,329,0,329,0,329,9,-34.7431142,-58.3797908,"266, Presidente Quintana, Banfield, Partido de Lomas de Zamora, Buenos Aires, 1828, Argentina",Quintana,266,Lomas de Zamora (referencia),Buenos Aires,"Quintana, 266, Lomas de Zamora (referencia), Buenos Aires"
,,Angel Gallardo 170,PP,36,250,0,262,0,262,9,-34.7693733,-58.3952308,"Escuela Primaria 36, 170, Ángel Gallardo, Temperley, Partido de Lomas de Zamora, Buenos Aires, 1834, Argentina",Angel Gallardo,170,Lomas de Zamora (referencia),Buenos Aires,"Angel Gallardo, 170, Lomas de Zamora (referencia), Buenos Aires"
,,Belén 1490,JI,905,190,190,190,0,380,10,-34.7483348,-58.4434372,"1490, Belén, Santa Marta, Partido de Lomas de Zamora, Buenos Aires, B1828HGV, Argentina",Belén,1490,Lomas de Zamora (referencia),Buenos Aires,"Belén, 1490, Lomas de Zamora (referencia), Buenos Aires"
,,Rawson 2120,JI,925,334,334,334,0,668,10,-34.7381174,-58.4443079,"2120, Rawson, Villa Albertina, Villa Centenario, Partido de Lomas de Zamora, Buenos Aires, 1827, Argentina",Rawson,2120,Lomas de Zamora (referencia),Buenos Aires,"Rawson, 2120, Lomas de Zamora (referencia), Buenos Aires"
,,Einstein 4247 Lamadrid,JI CC,5,80,80,80,0,160,10,-34.7308463,-58.4751538,"4247, Albert Einstein, Villa Lamadrid, Partido de Lomas de Zamora, Buenos Aires, B1839FDK, Argentina",Einstein  Lamadrid,4247,Lomas de Zamora (referencia),Buenos Aires,"Einstein  Lamadrid, 4247, Lomas de Zamora (referencia), Buenos Aires"
,,Ricardo Palma 195,MS,26,786,801,810,0,1611,10,-34.7385929,-58.4450646,"195, Ricardo Palma, Villa Albertina, Partido de Lomas de Zamora, Buenos Aires, 1827, Argentina",Ricardo Palma,195,Lomas de Zamora (referencia),Buenos Aires,"Ricardo Palma, 195, Lomas de Zamora (referencia), Buenos Aires"
,,Alazan E/ Santos Vega S/N,MS,2,310,450,450,0,900,10,-34.638715,-58.7863761,"Santos Vega, B1744, Moreno, Buenos Aires, Argentina",Alazan E/ Santos Vega S/N,,Lomas de Zamora (referencia),Buenos Aires,"Alazan E/ Santos Vega S/N, , Lomas de Zamora (referencia), Buenos Aires"
,,Los Palos Borrachos 185,MS,10,817,0,737,60,737,10,-34.764883,-58.431608,"Los Palos Borrachos, Parque Barón, Partido de Lomas de Zamora, Buenos Aires, B1836CXJ, Argentina",Los Palos Borrachos,185,Lomas de Zamora (referencia),Buenos Aires,"Los Palos Borrachos, 185, Lomas de Zamora (referencia), Buenos Aires"
,,Bustos 860,MS,31,300,465,465,0,930,10,-34.760679,-58.4474744,"860, Bustos, Parque Barón, Partido de Lomas de Zamora, Buenos Aires, 1839, Argentina",Bustos,860,Lomas de Zamora (referencia),Buenos Aires,"Bustos, 860, Lomas de Zamora (referencia), Buenos Aires"
,,Voltaire 1650,MS,39,300,320,320,0,640,10,-34.7498497,-58.4502093,"Unidad Sanitaria Santa Marta, 1650, Voltaire, Santa Marta, Partido de Lomas de Zamora, Buenos Aires, 1832, Argentina",Voltaire,1650,Lomas de Zamora (referencia),Buenos Aires,"Voltaire, 1650, Lomas de Zamora (referencia), Buenos Aires"
,,Barbieri 1605,MS,55,300,332,330,0,662,10,-34.7380052,-58.4351644,"Vicente Barbieri, Barrio ODISA, Santa Marta, Villa Centenario, Partido de Lomas de Zamora, Buenos Aires, B1828HGV, Argentina",Barbieri,1605,Lomas de Zamora (referencia),Buenos Aires,"Barbieri, 1605, Lomas de Zamora (referencia), Buenos Aires"
,,El Zorzal 2779,MS,85,300,250,280,0,530,10,-34.7607873,-58.3523241,"El Zorzal, San José, Partido de Lomas de Zamora, Buenos Aires, B1844, Argentina",El Zorzal,2779,Lomas de Zamora (referencia),Buenos Aires,"El Zorzal, 2779, Lomas de Zamora (referencia), Buenos Aires"
,,Muzzili 163,MS,62,200,230,230,0,460,10,-34.7437455,-58.3960811,"Banfield, 1828, Buenos Aires, Argentina",Muzzili,163,Lomas de Zamora (referencia),Buenos Aires,"Muzzili, 163, Lomas de Zamora (referencia), Buenos Aires"
,,Av Antartida Argentina 2750,MT,4,465,957,957,30,1914,10,-34.7896444,-58.4090933,"Avenida Antártida Argentina, Turdera, Partido de Lomas de Zamora, Buenos Aires, B1833, Argentina",Av Antartida Argentina,2750,Lomas de Zamora (referencia),Buenos Aires,"Av Antartida Argentina, 2750, Lomas de Zamora (referencia), Buenos Aires"
,,Olmos 530,PP,11,697,668,660,0,1328,10,-34.7604309,-58.4480276,"530, Olmos, Parque Barón, Partido de Lomas de Zamora, Buenos Aires, B1836CXJ, Argentina",Olmos,530,Lomas de Zamora (referencia),Buenos Aires,"Olmos, 530, Lomas de Zamora (referencia), Buenos Aires"
,,Rawson Y Espronceneda S/N,PP,18,510,560,560,0,1120,10,-34.7585379,-58.3993654,"Juzgado Federal Criminal y Correccionnal Numero 1 de Lomas de Zamora, Antonio Sáenz, B1832, Antonio Sáenz, Lomas de Zamora, Buenos Aires, Argentina",Rawson Y Espronceneda S/N,,Lomas de Zamora (referencia),Buenos Aires,"Rawson Y Espronceneda S/N, , Lomas de Zamora (referencia), Buenos Aires"
,,Vicente Barbieri 1605,PP,41,325,355,355,0,710,10,-34.7380052,-58.4351644,"Vicente Barbieri, Barrio ODISA, Santa Marta, Villa Centenario, Partido de Lomas de Zamora, Buenos Aires, B1828HGV, Argentina",Vicente Barbieri,1605,Lomas de Zamora (referencia),Buenos Aires,"Vicente Barbieri, 1605, Lomas de Zamora (referencia), Buenos Aires"
,,Lisandro de la Torre 2264,PP,48,428,314,614,0,928,10,-34.7501518,-58.4423703,"Lisandro de la Torre, Santa Marta, Partido de Lomas de Zamora, Buenos Aires, B1828HGV, Argentina",Lisandro de la Torre,2264,Lomas de Zamora (referencia),Buenos Aires,"Lisandro de la Torre, 2264, Lomas de Zamora (referencia), Buenos Aires"
,,Espronceneda 297,PP,57,574,460,460,0,920,10,-34.7368309,-58.4446973,"297, José Espronceda, Villa Albertina, Partido de Lomas de Zamora, Buenos Aires, 1827, Argentina",Espronceneda,297,Lomas de Zamora (referencia),Buenos Aires,"Espronceneda, 297, Lomas de Zamora (referencia), Buenos Aires"
,,Voltaire 1650,PP,65,644,618,618,0,1236,10,-34.7498497,-58.4502093,"Unidad Sanitaria Santa Marta, 1650, Voltaire, Santa Marta, Partido de Lomas de Zamora, Buenos Aires, 1832, Argentina",Voltaire,1650,Lomas de Zamora (referencia),Buenos Aires,"Voltaire, 1650, Lomas de Zamora (referencia), Buenos Aires"
,,Mercedes 1100,PP,66,533,405,405,0,810,10,-34.807104,-58.421091,"Mercedes, Llavallol, Partido de Lomas de Zamora, Buenos Aires, 1836, Argentina",Mercedes,1100,Lomas de Zamora (referencia),Buenos Aires,"Mercedes, 1100, Lomas de Zamora (referencia), Buenos Aires"
,,José de Espronceda 150,PP,96 A,306,275,260,60,535,10,-34.7388792,-58.4435356,"E. P. N° 96 ""Victoria Ocampo"", 150, José Espronceda, Villa Albertina, Banfield, Partido de Lomas de Zamora, Buenos Aires, 1828, Argentina",José de Espronceda,150,Lomas de Zamora (referencia),Buenos Aires,"José de Espronceda, 150, Lomas de Zamora (referencia), Buenos Aires"
,,Gral Elizalde s/n y Calle 7,JI,952,140,152,152,0,304,11,-34.7758816,-58.3971199,"Temperley, Buenos Aires, Argentina",Gral Elizalde s/n y Calle,7,Lomas de Zamora (referencia),Buenos Aires,"Gral Elizalde s/n y Calle, 7, Lomas de Zamora (referencia), Buenos Aires"
,,Euskadi 2949,JI CC,1,132,100,100,0,200,11,-34.7381481,-58.4609585,"2949, Euskadi, Villa Albertina, Partido de Lomas de Zamora, Buenos Aires, 1839, Argentina",Euskadi,2949,Lomas de Zamora (referencia),Buenos Aires,"Euskadi, 2949, Lomas de Zamora (referencia), Buenos Aires"
,,Quesada 2690,MS,9,750,850,850,0,1700,11,-34.7252941,-58.4636962,"2690, Quesada, Ingeniero Budge, Partido de Lomas de Zamora, Buenos Aires, 1827, Argentina",Quesada,2690,Lomas de Zamora (referencia),Buenos Aires,"Quesada, 2690, Lomas de Zamora (referencia), Buenos Aires"
,,Cipolletti e/ R. Palma y,MS,24,900,1000,1000,0,2000,11,-34.7613924,-58.3935392,"Red de Ciclovías y Bicisenda de Lomas de Zamora (ESTE), B1832AHQ, Lomas de Zamora, Buenos Aires, Argentina",Cipolletti e/ R. Palma y,,Lomas de Zamora (referencia),Buenos Aires,"Cipolletti e/ R. Palma y, , Lomas de Zamora (referencia), Buenos Aires"
,,Homero y Cafayate,MS,33,650,0,833,0,833,11,-34.7223256,-58.4645076,"Granja y Carnicería Homero, Andrés Bello, 1827, Andrés Bello, Ingeniero Budge, Buenos Aires, Argentina",Homero y Cafayate,,Lomas de Zamora (referencia),Buenos Aires,"Homero y Cafayate, , Lomas de Zamora (referencia), Buenos Aires"
,,Andres Bello 2763,MS,48,250,250,250,60,500,11,-34.7251236,-58.4624131,"Andrés Bello, Ingeniero Budge, Partido de Lomas de Zamora, Buenos Aires, 1827, Argentina",Andres Bello,2763,Lomas de Zamora (referencia),Buenos Aires,"Andres Bello, 2763, Lomas de Zamora (referencia), Buenos Aires"
,,Oran 599,MS,49,319,354,354,0,708,11,-34.7270067,-58.477407,"Orán, Villa Lamadrid, Partido de Lomas de Zamora, Buenos Aires, B1839FDK, Argentina",Oran,599,Lomas de Zamora (referencia),Buenos Aires,"Oran, 599, Lomas de Zamora (referencia), Buenos Aires"
,,Juan Bucetich E/ Pergamino 4834,MS,72,435,350,350,0,700,11,-34.7268364,-58.4800984,"Escuela primaria 87, 4834, Juan Vucetich, B1839FDK, Juan Vucetich, Villa Albertina, Buenos Aires, Argentina",Juan Bucetich E/ Pergamino,4834,Lomas de Zamora (referencia),Buenos Aires,"Juan Bucetich E/ Pergamino, 4834, Lomas de Zamora (referencia), Buenos Aires"
,,Rivera Sur 1750,MS,76,300,300,300,0,600,11,-34.7555515,-58.4023,"Pedro Ignacio Rivera, Lomas de Zamora, Partido de Lomas de Zamora, Buenos Aires, B1832, Argentina",Rivera Sur,1750,Lomas de Zamora (referencia),Buenos Aires,"Rivera Sur, 1750, Lomas de Zamora (referencia), Buenos Aires"
,,Quesada 2610,PP,12,520,467,467,0,934,11,-34.7248631,-58.462946,"2610, Quesada, Ingeniero Budge, Partido de Lomas de Zamora, Buenos Aires, 1827, Argentina",Quesada,2610,Lomas de Zamora (referencia),Buenos Aires,"Quesada, 2610, Lomas de Zamora (referencia), Buenos Aires"
,,Quesada 2672,PP,43,620,674,674,0,1348,11,-34.7251971,-58.4635274,"2672, Quesada, Ingeniero Budge, Partido de Lomas de Zamora, Buenos Aires, 1827, Argentina",Quesada,2672,Lomas de Zamora (referencia),Buenos Aires,"Quesada, 2672, Lomas de Zamora (referencia), Buenos Aires"
,,Homero 3780,PP,46,719,600,600,35,1200,11,-34.7309948,-58.4652096,"3780, Homero, Villa Lamadrid, Partido de Lomas de Zamora, Buenos Aires, B1839FDK, Argentina",Homero,3780,Lomas de Zamora (referencia),Buenos Aires,"Homero, 3780, Lomas de Zamora (referencia), Buenos Aires"
,,Campoamor 2789,PP,58,500,500,500,0,1000,11,-34.7074748,-58.4604916,"2789, Ramón de Campoamor, Ingeniero Budge, Partido de Lomas de Zamora, Buenos Aires, 1827, Argentina",Campoamor,2789,Lomas de Zamora (referencia),Buenos Aires,"Campoamor, 2789, Lomas de Zamora (referencia), Buenos Aires"
,,Andres Bello 2763,PP,62,289,350,350,0,700,11,-34.7251236,-58.4624131,"Andrés Bello, Ingeniero Budge, Partido de Lomas de Zamora, Buenos Aires, 1827, Argentina",Andres Bello,2763,Lomas de Zamora (referencia),Buenos Aires,"Andres Bello, 2763, Lomas de Zamora (referencia), Buenos Aires"
,,Ricardo Palma 2351,PP,82,727,650,650,0,1300,11,-34.7165816,-58.4625811,"2351, Ricardo Palma, Ingeniero Budge, Partido de Lomas de Zamora, Buenos Aires, 1827, Argentina",Ricardo Palma,2351,Lomas de Zamora (referencia),Buenos Aires,"Ricardo Palma, 2351, Lomas de Zamora (referencia), Buenos Aires"
,,Oran 599,PP,83,440,400,400,40,800,11,-34.7270067,-58.477407,"Orán, Villa Lamadrid, Partido de Lomas de Zamora, Buenos Aires, B1839FDK, Argentina",Oran,599,Lomas de Zamora (referencia),Buenos Aires,"Oran, 599, Lomas de Zamora (referencia), Buenos Aires"
,,Juan Vucetich 4834,PP,87,530,585,585,0,1170,11,-34.7268364,-58.4800984,"Escuela primaria 87, 4834, Juan Vucetich, Villa Lamadrid, Partido de Lomas de Zamora, Buenos Aires, B1839FDK, Argentina",Juan Vucetich,4834,Lomas de Zamora (referencia),Buenos Aires,"Juan Vucetich, 4834, Lomas de Zamora (referencia), Buenos Aires"
,,Homero 3870,PP,95,600,600,600,0,1200,11,-34.7302635,-58.4657889,"3870, Homero, Villa Lamadrid, Partido de Lomas de Zamora, Buenos Aires, B1839FDK, Argentina",Homero,3870,Lomas de Zamora (referencia),Buenos Aires,"Homero, 3870, Lomas de Zamora (referencia), Buenos Aires"
,,Antonio Machado 2546,CEC,804,262,252,252,0,504,12,-34.7148563,-58.465824,"2546, Antonio Machado, Ingeniero Budge, Partido de Lomas de Zamora, Buenos Aires, 1827, Argentina",Antonio Machado,2546,Lomas de Zamora (referencia),Buenos Aires,"Antonio Machado, 2546, Lomas de Zamora (referencia), Buenos Aires"
,,Bruno Tavano 3870,EE,504,181,262,268,0,530,12,-34.72963105319149,-58.46456429148936,"3870, Intendente Juan B. Tavano, B1839FDK, Intendente Juan B. Tavano, Buenos Aires, Argentina",Bruno Tavano,3870,Lomas de Zamora (referencia),Buenos Aires,"Bruno Tavano, 3870, Lomas de Zamora (referencia), Buenos Aires"
,,Bucarest 1723,JI,922,238,242,242,0,484,12,-34.725796,-58.4468535,"1723, Bucarest, Villa Albertina, Ingeniero Budge, Partido de Lomas de Zamora, Buenos Aires, 1827, Argentina",Bucarest,1723,Lomas de Zamora (referencia),Buenos Aires,"Bucarest, 1723, Lomas de Zamora (referencia), Buenos Aires"
,,Gilberto Elizalde 3971,JI,938,222,200,200,0,400,12,-34.7458289,-58.4839823,"Avenida Doctor Gilberto Elizalde, Santa Catalina, 9 de Abril, Partido de Lomas de Zamora, Buenos Aires, B1839FDK, Argentina",Gilberto Elizalde,3971,Lomas de Zamora (referencia),Buenos Aires,"Gilberto Elizalde, 3971, Lomas de Zamora (referencia), Buenos Aires"
,,Campoamor 2637,JI,940,131,131,131,0,262,12,-34.7093195,-58.4590025,"2637, Ramón de Campoamor, Ingeniero Budge, Partido de Lomas de Zamora, Buenos Aires, 1827, Argentina",Campoamor,2637,Lomas de Zamora (referencia),Buenos Aires,"Campoamor, 2637, Lomas de Zamora (referencia), Buenos Aires"
,,Hipolito Yrigoyen 9428,JI,942,260,260,260,0,520,12,-34.7654586,-58.4034059,"Escuela Secundaria 13 Perito Moreno, 9428, Avenida Hipólito Yrigoyen, Lomitas, Lomas de Zamora, Partido de Lomas de Zamora, Buenos Aires, B1832, Argentina",Hipolito Yrigoyen,9428,Lomas de Zamora (referencia),Buenos Aires,"Hipolito Yrigoyen, 9428, Lomas de Zamora (referencia), Buenos Aires"
,,Las Tropas 1711,JI,943,147,150,150,0,300,12,-34.7498391,-58.4281883,"Las Tropas, Lomas de Zamora, Partido de Lomas de Zamora, Buenos Aires, B1828HGV, Argentina",Las Tropas,1711,Lomas de Zamora (referencia),Buenos Aires,"Las Tropas, 1711, Lomas de Zamora (referencia), Buenos Aires"
,,soldado victor rodriguez 1569,JI,945,208,210,210,0,420,12,-34.7415615,-58.4724719,"Soldado Víctor Rodríguez, Santa Catalina, Partido de Lomas de Zamora, Buenos Aires, B1839FDK, Argentina",soldado victor rodriguez,1569,Lomas de Zamora (referencia),Buenos Aires,"soldado victor rodriguez, 1569, Lomas de Zamora (referencia), Buenos Aires"
,,Cipolleti y Machado,JI,946,290,280,280,0,560,12,-34.7788398,-58.383425,"Esquina Pablo y Norma Musso, Triunvirato, 1834, Triunvirato, Temperley, Buenos Aires, Argentina",Cipolleti y Machado,,Lomas de Zamora (referencia),Buenos Aires,"Cipolleti y Machado, , Lomas de Zamora (referencia), Buenos Aires"
,,Homero 2185,JI,947,176,176,176,0,352,12,-34.7440597,-58.4553164,"2185, Homero, Villa Albertina, Partido de Lomas de Zamora, Buenos Aires, 1839, Argentina",Homero,2185,Lomas de Zamora (referencia),Buenos Aires,"Homero, 2185, Lomas de Zamora (referencia), Buenos Aires"
,,Ostende y Labarden S/Nro,JI,2645,50,40,40,0,80,12,-34.7242316,-58.4408936,"Ostende & Gaspar Nuñez De Arce, Gaspar Núñez de Arce, 1827, Gaspar Núñez de Arce, Villa Centenario, Buenos Aires, Argentina",Ostende y Labarden S/Nro,,Lomas de Zamora (referencia),Buenos Aires,"Ostende y Labarden S/Nro, , Lomas de Zamora (referencia), Buenos Aires"
,,Piedrabuena 209,JI,908,94,150,150,0,300,12,-34.7943731,-58.4309139,"Piedrabuena, Llavallol, Partido de Lomas de Zamora, Buenos Aires, B1836CXJ, Argentina",Piedrabuena,209,Lomas de Zamora (referencia),Buenos Aires,"Piedrabuena, 209, Lomas de Zamora (referencia), Buenos Aires"
,,La Haya 2195,MS,29,300,330,330,0,660,12,-34.7293218,-58.4520986,"2195, La Haya, Villa Albertina, Partido de Lomas de Zamora, Buenos Aires, 1827, Argentina",La Haya,2195,Lomas de Zamora (referencia),Buenos Aires,"La Haya, 2195, Lomas de Zamora (referencia), Buenos Aires"
,,Victor Miatello 2061,MS,35,450,0,0,0,0,12,-34.7418035,-58.4836746,"Doctor Víctor Raúl Miatello, Santa Catalina, Partido de Lomas de Zamora, Buenos Aires, B1839FDK, Argentina",Victor Miatello,2061,Lomas de Zamora (referencia),Buenos Aires,"Victor Miatello, 2061, Lomas de Zamora (referencia), Buenos Aires"
,,Homero Manzi 3954,MS,70,690,690,690,0,1380,12,-34.7413307,-58.4692693,"Homero Manzi, Santa Catalina, Partido de Lomas de Zamora, Buenos Aires, B1839FDK, Argentina",Homero Manzi,3954,Lomas de Zamora (referencia),Buenos Aires,"Homero Manzi, 3954, Lomas de Zamora (referencia), Buenos Aires"
,,Figueredo 1525,MS,78,330,248,345,0,593,12,-34.7100276,-58.4559332,"1525, Figueredo, Ingeniero Budge, Partido de Lomas de Zamora, Buenos Aires, 1827, Argentina",Figueredo,1525,Lomas de Zamora (referencia),Buenos Aires,"Figueredo, 1525, Lomas de Zamora (referencia), Buenos Aires"
,,Vernet 281,MS,50,224,300,300,0,600,12,-34.7297857,-58.4196105,"281, Vernet, Villa Centenario, Partido de Lomas de Zamora, Buenos Aires, B1828HGV, Argentina",Vernet,281,Lomas de Zamora (referencia),Buenos Aires,"Vernet, 281, Lomas de Zamora (referencia), Buenos Aires"
,,Avenida Elizalde 3971,PP,16,1177,1104,1104,0,2208,12,-34.7458289,-58.4839823,"Avenida Doctor Gilberto Elizalde, Santa Catalina, 9 de Abril, Partido de Lomas de Zamora, Buenos Aires, B1839FDK, Argentina",Avenida Elizalde,3971,Lomas de Zamora (referencia),Buenos Aires,"Avenida Elizalde, 3971, Lomas de Zamora (referencia), Buenos Aires"
,,Figueredo 1525,PP,64,343,320,320,0,640,12,-34.7100276,-58.4559332,"1525, Figueredo, Ingeniero Budge, Partido de Lomas de Zamora, Buenos Aires, 1827, Argentina",Figueredo,1525,Lomas de Zamora (referencia),Buenos Aires,"Figueredo, 1525, Lomas de Zamora (referencia), Buenos Aires"
,,La Haya 2195,PP,68,332,299,299,0,598,12,-34.7293218,-58.4520986,"2195, La Haya, Villa Albertina, Partido de Lomas de Zamora, Buenos Aires, 1827, Argentina",La Haya,2195,Lomas de Zamora (referencia),Buenos Aires,"La Haya, 2195, Lomas de Zamora (referencia), Buenos Aires"
,,Agustin Magaldi 3954,PP,89,835,0,0,0,0,12,-34.7310684,-58.4796212,"Agustín Magaldi, Santa Catalina, Partido de Lomas de Zamora, Buenos Aires, B1839FDK, Argentina",Agustin Magaldi,3954,Lomas de Zamora (referencia),Buenos Aires,"Agustin Magaldi, 3954, Lomas de Zamora (referencia), Buenos Aires"
,,Cipolletti 2202,PP,93,478,508,508,0,1016,12,-34.7437455,-58.3960811,"Banfield, 1828, Buenos Aires, Argentina",Cipolletti,2202,Lomas de Zamora (referencia),Buenos Aires,"Cipolletti, 2202, Lomas de Zamora (referencia), Buenos Aires"
